District,Senator,Political-party,Counties,Phone-number,Committee-assignments
1,Doug Broxson,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",(850) 487-5001,"Banking and Insurance, Agriculture, Appropriations Subcommittee on Agriculture, Environment, and General Government, Community Affairs, Military and Veterans Affairs and Space, and Joint Committee on Public Counsel Oversight"
2,George Gainer,Republican,"Consists of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",(850) 487-5002,"Finance and Tax, Agriculture, Appropriations, Appropriations Subcommittee on Criminal and Civil Justice, and Military and Veterans Affairs and Space"
3,Bill Montford,Democrat,"Consists of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",(850) 487-5003,"Environment and Natural Resources, Education, Agriculture, Appropriations, Appropriations Subcommittee on Education, Rules, and Joint Legislative Auditing Committee"
4,Aaron Bean,Republican,Consists of Nassau county and part of Duval county,(850) 487-5004,"Appropriations Subcommittee on Health and Human Services, Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Children, Families, and Elder Affairs, Governmental Oversight and Accountability, Health Policy, and Infrastructure and Security"
5,Rob Bradley,Republican,"Consists of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",(850) 487-5005,"Appropriations, Finance and Tax, Innovation, Industry, and Technology, Rules, and Joint Legislative Budget Commission"
6,Audrey Gibson,Democrat,Consists of part of Duval county,(850) 487-5006,"Rules, Appropriations, Innovation, Industry, and Technology, Judiciary, and Joint Legislative Budget Commission"
7,Travis Hutson,Republican,"Consists of Flagler, St. Johns counties and part of Volusia county",(850) 487-5007,"Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Commerce and Tourism, Infrastructure and Security, Innovation, Industry, and Technology, Judiciary, and Rules"
8,Keith Perry,Republican,"Consists of Alachua, Putnam counties and part of Marion county",(850) 487-5008,"Criminal Justice, Infrastructure and Security, Appropriations Subcommittee on Criminal and Civil Justice, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Banking and Insurance, Education, and Joint Administrative Procedures Committee"
9,David Simmons,Republican,Consists of Seminole county and part of Volusia county,(850) 487-5009,"Judiciary, Appropriations, Appropriations Subcommittee on Education, Community Affairs, Education, and Rules"
10,Wilton Simpson,Republican,"Consists of Citrus, Hernando counties and part of Pasco county",(850) 487-5010,"Innovation, Industry, and Technology, Appropriations, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Rules, and Joint Legislative Budget Commission"
11,Randolph Bracy,Democrat,Consists of part of Orange county,(850) 487-5011,"Appropriations Subcommittee on Criminal and Civil Justice, Criminal Justice, Finance and Tax, and Innovation, Industry, and Technology"
12,Dennis Baxley,Republican,"Consists of Sumter county and parts of Lake, Marion counties",(850) 487-5012,"Ethics and Elections, Appropriations Subcommittee on Education, Education, Finance and Tax, Health Policy, Judiciary, and Joint Legislative Auditing Committee"
13,Linda Stewart,Democrat,Consists of part of Orange county,(850) 487-5013,"Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Commerce and Tourism, Infrastructure and Security, and Joint Administrative Procedures Committee"
14,Tom Wright,Republican,"Consists of parts of Brevard, Volusia counties",(850) 487-5014,"Military and Veterans Affairs and Space, Children, Families, and Elder Affairs, Commerce and Tourism, Environment and Natural Resources, and Joint Administrative Procedures Committee"
15,Victor Torres,Democrat,Consists of Osceola county and part of Orange county,(850) 487-5015,"Commerce and Tourism, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Children, Families, and Elder Affairs, Governmental Oversight and Accountability, Military and Veterans Affairs and Space, and Joint Select Committee on Collective Bargaining"
16,Ed Hooper,Republican,"Consists of parts of Pasco, Pinellas counties",(850) 487-5016,"Governmental Oversight and Accountability, Appropriations Subcommittee on Agriculture, Environment, and General Government, Appropriations Subcommittee on Health and Human Services, Health Policy, Infrastructure and Security, Joint Select Committee on Collective Bargaining, Alternating Chair, and Joint Administrative Procedures Committee"
17,Debbie Mayfield,Republican,Consists of Indian River county and part of Brevard county,(850) 487-5017,"Appropriations Subcommittee on Agriculture, Environment, and General Government, Children, Families, and Elder Affairs, Appropriations, Environment and Natural Resources, and Health Policy"
18,Janet Cruz,Democrat,Consists of part of Hillsborough county,(850) 487-5018,"Military and Veterans Affairs and Space, Education, Health Policy, Infrastructure and Security, and Joint Administrative Procedures Committee"
19,Darryl Ervin Rouson,Democrat,"Consists of parts of Hillsborough, Pinellas counties",(850) 487-5019,"Banking and Insurance, Appropriations, Appropriations Subcommittee on Criminal and Civil Justice, Appropriations Subcommittee on Health and Human Services, and Health Policy"
20,Tom Lee,Republican,"Consists of parts of Hillsborough, Pasco, Polk counties",(850) 487-5020,"Infrastructure and Security, Appropriations, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Banking and Insurance, Rules, and Joint Legislative Auditing Committee"
21,Bill Galvano,Republican,Consists of Manatee county and part of Hillsborough county,(850) 487-5021,None
22,Kelli Stargel,Republican,"Consists of parts of Lake, Polk counties",(850) 487-5022,"Appropriations Subcommittee on Education, Appropriations, Education, Ethics and Elections, Finance and Tax, Judiciary, Rules, and Joint Select Committee on Collective Bargaining"
23,Joe Gruters,Republican,Consists of Sarasota county and part of Charlotte county,(850) 487-5023,"Commerce and Tourism, Finance and Tax, Appropriations Subcommittee on Criminal and Civil Justice, Banking and Insurance, and Joint Committee on Public Counsel Oversight"
24,Jeff Brandes,Republican,Consists of part of Pinellas county,(850) 487-5024,"Appropriations Subcommittee on Criminal and Civil Justice, Criminal Justice, Appropriations, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Banking and Insurance, Innovation, Industry, and Technology, Rules, Joint Legislative Auditing Committee, and Joint Legislative Budget Commission"
25,Gayle Harrell,Republican,"Consists of Martin, St. Lucie counties and part of Palm Beach county",(850) 487-5025,"Health Policy, Appropriations Subcommittee on Health and Human Services, Appropriations Subcommittee on Criminal and Civil Justice, Children, Families, and Elder Affairs, Military and Veterans Affairs and Space, and Joint Committee on Public Counsel Oversight"
26,Ben Albritton,Republican,"Consists of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",(850) 487-5026,"Agriculture, Environment and Natural Resources, Appropriations Subcommittee on Agriculture, Environment, and General Government, and Governmental Oversight and Accountability"
27,Lizbeth Benacquisto,Republican,Consists of part of Lee county,(850) 487-5027,"Rules, Innovation, Industry, and Technology, Appropriations, and Joint Legislative Budget Commission"
28,Kathleen Passidomo,Republican,"Consists of Collier, Hendry counties and part of Lee county",(850) 487-5028,"Appropriations, Appropriations Subcommittee on Health and Human Services, Ethics and Elections, Innovation, Industry, and Technology, and Rules"
29,Kevin Rader,Democrat,"Consists of parts of Broward, Palm Beach counties",(850) 487-5029,"Governmental Oversight and Accountability, Agriculture, Appropriations Subcommittee on Health and Human Services, Children, Families, and Elder Affairs, and Joint Legislative Auditing Committee"
30,Bobby Powell,Democrat,Consists of part of Palm Beach county,(850) 487-5030,"Appropriations Subcommittee on Agriculture, Environment, and General Government, Appropriations, Ethics and Elections, Finance and Tax, and Joint Committee on Public Counsel Oversight"
31,Lori Berman,Democrat,Consists of part of Palm Beach county,(850) 487-5031,"Health Policy, Appropriations Subcommittee on Agriculture, Environment, and General Government, Education, and Environment and Natural Resources"
32,Lauren Book,Democrat,Consists of part of Broward county,(850) 487-5032,"Children, Families, and Elder Affairs, Appropriations, Appropriations Subcommittee on Education. Appropriations Subcommittee on Health and Human Services, Health Policy, Rules, and Joint Legislative Budget Commission"
33,Perry E Thurston,Democrat,Consists of part of Broward county,(850) 487-5033,"Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Appropriations, Banking and Insurance, Rules, and Joint Select Committee on Collective Bargaining"
34,Gary M Farmer,Democrat,Consists of part of Broward county,(850) 487-5034,"Community Affairs, Appropriations Subcommittee on Health and Human Services, Innovation, Industry, and Technology, Rules, and Joint Committee on Public Counsel Oversight"
35,Oscar Braynon II,Democrat,"Consists of parts of Broward, Miami-Dade counties",(850) 487-5035,"Ethics and Elections, Appropriations, Innovation, Industry, and Technology, Rules, and Joint Legislative Budget Commission"
36,Manny Diaz,Republican,Consists of part of Miami-Dade county,(850) 487-5036,"Education, Appropriations Subcommittee on Education, Appropriations Subcommittee on Health and Human Services, Ethics and Elections, Health Policy, and Joint Select Committee on Collective Bargaining"
37,Jose Javier Rodriguez,Democrat,Consists of part of Miami-Dade county,(850) 487-5037,"Judiciary, Appropriations Subcommittee on Agriculture, Environment, and General Government, Ethics and Elections, and Rules"
38,Jason W B Pizzo,Democrat,Consists of part of Miami-Dade county,(850) 487-5038,"Appropriations Subcommittee on Education, Community Affairs, Criminal Justice, Finance and Tax, and Military and Veterans Affairs and Space"
39,Anitere Flores,Republican,Consists of Monroe county and part of Miami-Dade county,(850) 487-5039,"Community Affairs, Appropriations, Appropriations Subcommittee on Education, Appropriations Subcommittee on Health and Human Services, Criminal Justice, and Rules"
40,Annette Taddeo,Democrat,Consists of part of Miami-Dade county,(850) 487-5040,"Appropriations Subcommittee on Criminal and Civil Justice, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Banking and Insurance, and Infrastructure and Security"